主叫电话号码   通话类型    话费余额（元）
   3491234    本地通话      0.30
   4927038    长途话费      4.80
   7216340    本地通话      0.90
   3491234    长途话费      2.00
   8120321    长途话费      0.80
   3491234    本地通话      0.30
   4927038    本地通话      0.30
   8120321    本地通话      0.30
   7216340    长途话费      2.40
   3491234    长途话费     16.80
   4927038    长途话费     16.00
   3491234    本地通话      1.70
   4927038    本地通话      0.90
   8120321    长途话费      3.20
   7216340    本地通话      0.70
   7216340    长途话费      4.80
   3492200    本地通话      0.90
   3491234    本地通话      0.70
   4927038    本地通话      0.50
   3492200    本地通话      0.30
